,Rk,NAME,Pos,Age,TEAM_Regular,GP_Regular,MPG_Regular,FG,FGA,FG%,3P,3PA_Regular,3P%_Regular,2P,2PA_Regular,2P%_Regular,eFG%_Regular,FT,FTA_Regular,FT%_Regular,ORB,RPG_Regular,TRB,APG_Regular,SPG_Regular,BPG_Regular,TPG_Regular,PF,PPG_Regular,RANK,TEAM_Playoffs,POS,AGE,GP_Playoffs,MPG_Playoffs,USG%,TO%,FTA_Playoffs,FT%_Playoffs,2PA_Playoffs,2P%_Playoffs,3PA_Playoffs,3P%_Playoffs,eFG%_Playoffs,TS%,PPG_Playoffs,RPG_Playoffs,APG_Playoffs,SPG_Playoffs,BPG_Playoffs,TPG_Playoffs,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,1,Precious Achiuwa,PF-C,24,TOT,74,21.9,3.2,6.3,0.501,0.4,1.3,0.268,2.8,5.0,0.562,0.529,0.9,1.5,0.616,2.6,4.0,6.6,1.3,0.6,0.9,1.1,1.9,7.6,112,Nyk,F,24.7,9,20.5,12.6,8.5,13,0.385,40,0.525,3,0.0,0.488,0.482,5.2,4.2,0.6,0.4,1.3,0.4,9.4,5.8,10.0,4.6,111.6,107.2
1,2,Bam Adebayo,C,26,MIA,71,34.0,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,19,Mia,C,26.9,5,38.5,29.0,7.6,21,0.714,87,0.529,10,0.2,0.505,0.532,22.6,9.4,3.8,0.4,0.0,1.6,32.0,26.4,35.8,9.7,109.5,106.7
2,5,Nickeil Alexander-Walker,SG,25,MIN,82,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.7,8.0,92,Min,F,25.8,16,23.6,15.8,11.8,10,1.0,31,0.548,81,0.296,0.473,0.498,7.3,1.8,2.3,0.6,0.4,0.9,9.0,9.6,11.3,5.3,103.3,109.1
3,6,Grayson Allen,SG,28,PHO,75,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2.0,0.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,13.5,135,Pho,G,28.7,2,21.4,10.7,35.5,4,1.0,0,0.0,5,0.2,0.3,0.518,3.5,4.0,1.0,0.5,0.0,1.5,7.5,4.5,8.5,4.5,94.8,109.1
4,7,Jarrett Allen,C,25,CLE,77,31.7,6.7,10.6,0.634,0.0,0.1,0.0,6.7,10.6,0.638,0.634,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,33,Cle,C,26.1,4,31.8,19.6,11.8,26,0.692,37,0.676,0,0.0,0.676,0.702,17.0,13.8,1.3,1.3,1.0,1.3,30.8,18.3,32.0,8.5,137.5,103.7
5,9,Jose Alvarado,PG,25,NOP,56,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,160,Nor,G,26.2,4,15.4,17.1,16.7,0,0.0,6,0.333,14,0.071,0.175,0.175,1.8,1.0,2.3,1.3,0.3,1.0,2.8,4.0,5.0,4.2,53.7,110.2
6,10,Kyle Anderson,PF,30,MIN,79,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,122,Min,F-G,30.7,15,15.4,14.2,14.8,12,0.833,49,0.49,8,0.25,0.474,0.514,4.3,2.7,2.5,0.7,0.3,0.7,6.9,6.8,9.5,8.0,119.5,101.6
7,12,Thanasis Antetokounmpo,PF,31,MIL,34,4.6,0.5,0.9,0.533,0.0,0.0,0.0,0.5,0.9,0.552,0.533,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9,197,Mil,F,31.9,2,2.4,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13,Cole Anthony,PG,23,ORL,81,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3.0,6.0,0.49,0.496,2.2,2.7,0.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6,114,Orl,G,24.1,7,14.7,21.3,10.8,9,0.889,28,0.393,13,0.154,0.341,0.4,5.1,2.1,1.3,0.6,0.1,0.7,7.3,6.4,8.6,6.5,88.1,96.9
9,14,OG Anunoby,SF,26,TOT,50,34.0,5.6,11.5,0.489,2.0,5.3,0.382,3.6,6.2,0.581,0.577,1.3,1.8,0.753,0.9,3.2,4.2,2.1,1.4,0.7,1.6,2.4,14.7,43,Nyk,F,26.9,9,36.0,17.2,8.2,13,0.615,72,0.556,39,0.41,0.577,0.583,15.1,6.0,1.1,0.9,1.0,1.1,21.1,16.2,22.2,5.2,113.9,112.5
